school,clean_name,clean_city,clean_state,category
"Western Reserve, OH","Western Reserve",NULL,OH,high_school
"Streetsboro, OH",Streetsboro,NULL,OH,high_school
Louisville,NULL,NULL,NULL,high_school
"Arrowhead, WI",Arrowhead,NULL,WI,high_school
"The Rivers School",NULL,NULL,NULL,high_school
"Flandreau Public",NULL,NULL,NULL,high_school
"Ursuline Acdemy of Dallas",NULL,NULL,NULL,high_school
"Hartford Union, WI","Hartford Union",NULL,WI,high_school
"McFarland, WI",McFarland,NULL,WI,high_school
"Wayzata, MN",Wayzata,NULL,MN,high_school
"Providence Academy, MN","Providence Academy",NULL,MN,high_school
"Orono, MN",Orono,NULL,MN,high_school
"St Peter",NULL,NULL,NULL,high_school
"Mount Vernon, IA","Mount Vernon",NULL,IA,high_school
"Jefferson, SD",Jefferson,NULL,SD,high_school
"Hill City",NULL,NULL,NULL,high_school
"Mount Vernon, SD","Mount Vernon",NULL,SD,high_school
"Rolling Meadows, IL","Rolling Meadows",NULL,IL,high_school
Tri-Cities,NULL,NULL,NULL,high_school
"CR Xavier",NULL,NULL,NULL,high_school
"Cartersville, GA",Cartersville,NULL,GA,high_school
Deerfield,NULL,NULL,NULL,high_school
"Whitley County",NULL,NULL,NULL,high_school
"Marist, GA",Marist,NULL,GA,high_school
"Camden-Fairview, AR",Camden-Fairview,NULL,AR,high_school
"Corydon Central, IN","Corydon Central",NULL,IN,high_school
"Crosby Ironton, MN","Crosby Ironton",NULL,MN,high_school
"Johnston, IA",Johnston,NULL,IA,high_school
"Bishop Ireton",NULL,NULL,NULL,high_school
"Hortonville, WI",Hortonville,NULL,WI,high_school
"Millard West, NE","Millard West",NULL,NE,high_school
"Lincoln Northeast",NULL,NULL,NULL,high_school
"Cripus Attucks, IN","Cripus Attucks",NULL,IN,high_school
Spring-Ford,NULL,NULL,NULL,high_school
"Whitney, CA",Whitney,NULL,CA,high_school
Millbrook,NULL,NULL,NULL,high_school
Hebron,NULL,NULL,NULL,high_school
"St. Mary's, CA","St. Mary's",NULL,CA,high_school
"Arapahoe, CO",Arapahoe,NULL,CO,high_school
"Holy Cross Prep Academy",NULL,NULL,NULL,high_school
"Nooksack Valley, WA","Nooksack Valley",NULL,WA,high_school
"Bishop Mieve",NULL,NULL,NULL,high_school
Baldwin,NULL,NULL,NULL,high_school
"St. John's College, MD","St. John's College",NULL,MD,high_school
"Sparrows Point, MD","Sparrows Point",NULL,MD,high_school
"Bullis, MD",Bullis,NULL,MD,high_school
"Wesleyan, GA",Wesleyan,NULL,GA,high_school
"Princeton, OH",Princeton,NULL,OH,high_school
"Butler College Prep, IL","Butler College Prep",NULL,IL,high_school
"West Des Moines",NULL,NULL,NULL,high_school
"North Polk",NULL,NULL,NULL,high_school
